2023,140967,6.39,7.87,-1.48,72032,68935,89358,34964,90575.81,0.154
2022,141175,6.77,7.37,-0.6,72206,68969,85310,31899,85327.49,0.149
2021,141260,7.52,7.18,0.34,72311,68949,81370,31013,76844.99,0.142
2020,141212,8.52,7.07,1.45,72357,68855,72000,27438,72175,0.135002691
2019,141008,10.41,7.09,3.32,72039,68969,70078,27504,65841.39,0.125999943
2018,140541,10.86,7.08,3.78,71864,68677,65534,25245,59121.91,0.118997303
2017,140011,12.64,7.06,5.58,71650,68361,59592,22969,52598.28,0.113998186
2016,139232,13.57,7.04,6.53,71307,67925,53783,20801,46344.88,0.107999598
2015,138326,11.99,7.07,4.93,70857,67469,49922,18857,40974.64,0.104998337
2014,137646,13.83,7.12,6.71,70522,67124,46912,17220,35312.4,0.100998213
2013,136726,13.03,7.13,5.9,70063,66663,43497,15586,31668.95,0.096996914
2012,135922,14.57,7.13,7.43,69660,66262,39771,14074,28119,0.094002443
2011,134916,13.27,7.14,6.13,69161,65755,36277,12668,24345.91,0.090997361
2010,134091,11.9,7.11,4.79,68748,65343,30808,10575,19980.39,0.088700957
2009,133450,11.95,7.08,4.87,68647,64803,26180,9249,17541.92,0.084728363
2008,132802,12.14,7.06,5.08,68357,64445,24100,8505,14535.4,0.082498758
2007,132129,12.1,6.93,5.17,68048,64081,20494,7454,11573.97,0.08049709
2006,131448,12.09,6.81,5.28,67728,63720,16738,6319,9843.34,0.079263283
2005,130756,12.4,6.51,5.89,67375,63381,14368,5688,8659.91,0.076898957
2004,129988,12.29,6.42,5.87,66976,63012,12487,5071,7590.29,0.075830077
2003,129227,12.41,6.4,6.01,66556,62671,10666,4555,6584.1,0.074999807
2002,128453,12.86,6.41,6.45,66115,62338,9506,4270,5790.03,0.072999463
2001,127627,13.38,6.43,6.95,65672,61955,8717,3968,5025.93,0.071003784
